file_id,canonical_path,family_id,path_ids,as_oracle_association_ids,as_schedule_association_ids,oracle_test_case_ids,schedule_test_case_ids,mpp_xml_pair_ids,equivalence_class_ids,repository_item_ids
F0059,ref1/.mpp test files/Hard_File/Hard_File_updated2 vs update3 Forensic Analysis Report.xlsx,FAM003,P0140,A0097|A0098,,TC-F0059,,,,
F0060,ref1/.mpp test files/Hard_File/Hard_File_updated2.fieldmap.xml,FAM003,P0141,,,,,,,
F0061,ref1/.mpp test files/Hard_File/Hard_File_updated2.mpp,FAM003,P0142,,A0070|A0072|A0074|A0076|A0078|A0080|A0081|A0083|A0085|A0087|A0089|A0091|A0093|A0096|A0097,,TC-F0044|TC-F0045|TC-F0046|TC-F0047|TC-F0048|TC-F0049|TC-F0050|TC-F0051|TC-F0052|TC-F0053|TC-F0054|TC-F0055|TC-F0056|TC-F0057|TC-F0059,,,
F0062,ref1/.mpp test files/Hard_File/Hard_File_updated3 24 hour calendar.mpp,FAM003,P0143,,,,,,,R004
F0063,ref1/.mpp test files/Hard_File/Hard_File_updated3.mpp,FAM003,P0144,,A0082|A0084|A0086|A0088|A0090|A0092|A0094|A0098,,TC-F0050|TC-F0051|TC-F0052|TC-F0053|TC-F0054|TC-F0055|TC-F0056|TC-F0059,,,
F0064,ref1/.mpp test files/Hard_File/Hard_File_updated_missing_logic.xlsx,FAM003,P0145,A0099,,TC-F0064,,,,
F0065,ref1/.mpp test files/Hard_File/Hard_File_updated_with_logic_reestablished.mpp,FAM003,P0146,,A0100,,TC-F0066,,,R009
F0066,ref1/.mpp test files/Hard_File/Hard_File_updated_with_logic_reestablished_UID_155_Directional_Path_Analysis_2026-7-8-14-37-20.xlsx,FAM003,P0147,A0100,,TC-F0066,,,,
F0067,ref1/.mpp test files/Large Project2 Acumen/Large Project2 Acumen - DCMA Report1.xlsx,FAM004,P0148|P0150|P0316|P0318,A0101,,TC-F0067,,,,
F0068,ref1/.mpp test files/Large Project2 Acumen/Large Project2 Acumen - DCMA Report1.zip,FAM004,P0149|P0317,,,,,,,
F0069,ref1/.mpp test files/Large Project2 Acumen/Large Project2 Acumen - Quick Add Metrics .xlsx,FAM004,P0151|P0156|P0319|P0324,A0102,,TC-F0069,,,,
F0070,ref1/.mpp test files/Large Project2 Acumen/Large Project2 Acumen - Quick Add Metrics.docx,FAM004,P0152|P0157|P0320|P0325,,,,,,,
